Protein,10B_32 Protein Abundance,10NB_47 Protein Abundance,13B_46 Protein Abundance,13NB_33 Protein Abundance,21B_43 Protein Abundance,21NB_30 Protein Abundance,26B_28 Protein Abundance,26NB_45 Protein Abundance,66B_44 Protein Abundance,66NB_29 Protein Abundance,74B_31 Protein Abundance,74NB_48 Protein Abundance
lcl|c230150_g4_i2|m.14989,1.1405E+6,1.4559E+6,7.4900E+5,9.2408E+5,7.0608E+5,7.9858E+5,7.5364E+5,1.6412E+6,1.3293E+6,1.3254E+6,1.1617E+6,1.5222E+6
lcl|c230171_g1_i1|m.15015,8.5555E+5,5.7658E+5,8.3800E+5,1.0811E+6,8.9925E+5,1.1097E+6,1.3556E+6,1.5108E+6,1.4055E+6,1.9786E+6,1.1398E+6,1.1786E+6
lcl|c230197_g3_i5|m.15044,3.3774E+6,1.9742E+6,1.5606E+6,2.5064E+6,2.2563E+6,2.3864E+6,2.1921E+6,2.4875E+6,2.5991E+6,3.1877E+6,3.0060E+6,3.3610E+6
lcl|c230219_g2_i3|m.15063,3.4890E+5,6.0362E+5,4.0063E+5,5.6353E+5,4.2423E+5,3.9326E+5,2.2418E+5,6.2307E+5,3.5631E+5,4.8874E+5,5.0209E+5,1.2346E+6
lcl|c230270_g1_i2|m.15107,1.2113E+6,1.2114E+6,1.0076E+6,1.0190E+6,1.1003E+6,1.3671E+6,8.3843E+5,1.5734E+6,1.2946E+6,2.0604E+6,1.1533E+6,1.6813E+6
lcl|c230297_g1_i1|m.15137,9.4371E+5,1.4324E+6,1.3496E+6,1.5089E+6,1.5195E+6,1.8084E+6,9.4569E+5,1.5435E+6,9.0984E+5,2.1396E+6,1.4101E+6,2.0143E+6
lcl|c230335_g4_i1|m.15178,7.2818E+5,1.8541E+6,1.7467E+6,1.9299E+6,2.4973E+6,2.2613E+6,5.3373E+5,5.7330E+5,6.1468E+5,2.5298E+6,1.3843E+6,3.1511E+6
lcl|c230335_g4_i4|m.15179,4.2171E+5,1.2085E+6,1.1000E+6,1.3648E+6,1.5118E+6,1.3264E+6,4.8408E+5,7.5761E+5,3.5000E+5,1.4669E+6,8.5564E+5,2.2544E+6
lcl|c230355_g4_i3|m.15198,1.8303E+6,2.2554E+6,1.9980E+6,1.9562E+6,1.7798E+6,2.0595E+6,2.2908E+6,3.3002E+6,2.2326E+6,2.3843E+6,2.3550E+6,2.7417E+6
lcl|c230360_g10_i5|m.15205,1.3559E+6,1.7919E+6,9.6865E+5,1.1920E+6,9.5397E+5,9.7900E+5,9.0264E+5,2.3460E+6,1.4968E+6,1.5215E+6,1.4497E+6,1.9920E+6
lcl|c230386_g2_i1|m.15223,2.6114E+6,2.6228E+6,1.1744E+6,1.5899E+6,2.1260E+6,2.3580E+6,1.5877E+6,2.9154E+6,1.5372E+6,2.4735E+6,8.6599E+5,1.6886E+6
lcl|c230413_g1_i5|m.15274,1.0868E+6,1.2348E+6,1.0479E+6,1.2022E+6,9.4087E+5,1.0665E+6,9.0665E+5,1.9826E+6,1.4154E+6,1.7913E+6,1.3508E+6,1.7112E+6
lcl|c230414_g1_i1|m.15275,3.9154E+5,5.9006E+5,3.6394E+5,4.5713E+5,6.5833E+5,7.5000E+5,1.4591E+5,3.1652E+5,5.7675E+5,1.1724E+6,1.0591E+6,1.6859E+6
lcl|c230438_g3_i4|m.15312,1.3026E+6,1.5695E+6,1.2180E+6,1.3406E+6,1.4415E+6,1.5337E+6,1.0480E+6,1.3462E+6,9.7629E+5,1.0422E+6,1.5120E+6,1.7599E+6
lcl|c230481_g5_i1|m.15356,4.6043E+6,5.5997E+6,4.4244E+6,3.5072E+6,2.9534E+6,3.3914E+6,3.7693E+6,9.7372E+6,5.4976E+6,7.5503E+6,4.7147E+6,6.6182E+6
lcl|c230486_g3_i2|m.15359,5.6315E+6,5.2247E+6,5.8527E+6,5.4371E+6,4.8595E+6,5.2089E+6,4.0680E+6,7.4060E+6,4.3662E+6,5.2916E+6,5.6855E+6,7.1685E+6
lcl|c230503_g4_i1|m.15369,7.1753E+5,5.0473E+5,5.9515E+5,7.1350E+5,3.9630E+5,5.0056E+5,9.0468E+5,1.5906E+6,1.2263E+6,1.3949E+6,7.3544E+5,1.0669E+6
lcl|c230570_g2_i2|m.15424,2.4786E+5,1.0495E+6,7.4610E+5,9.8693E+5,1.1862E+6,1.1860E+6,1.4612E+5,2.0368E+5,2.3607E+5,1.2359E+6,6.4864E+5,1.7217E+6
lcl|c230758_g1_i1|m.15596,8.9052E+5,8.1380E+5,9.0104E+5,1.3630E+6,1.5885E+6,1.1743E+6,1.0704E+6,1.3261E+6,5.1777E+5,1.6713E+6,1.4795E+6,2.6152E+6
lcl|c230771_g2_i1|m.15607,1.8399E+6,2.2385E+6,1.6985E+6,2.2068E+6,1.6472E+6,1.9459E+6,1.0606E+6,2.2414E+6,1.6504E+6,3.6797E+6,2.2986E+6,3.5967E+6
lcl|c230823_g3_i1|m.15672,1.3385E+6,1.2307E+6,7.0468E+5,6.7932E+5,1.0064E+6,1.0541E+6,1.1260E+6,1.6357E+6,1.6690E+6,2.5757E+6,1.0973E+6,1.2913E+6
lcl|c230862_g3_i1|m.15714,1.0580E+6,2.3245E+6,1.5443E+6,1.9981E+6,2.3199E+6,2.4280E+6,7.1269E+5,1.3788E+6,8.5932E+5,2.8292E+6,2.1770E+6,3.5326E+6
