"","PROTID","X2021_01_20_CORALEGGS_10B_23_NUMSPECSTOT","X2021_01_20_CORALEGGS_10NB_13_NUMSPECSTOT","X2021_01_20_CORALEGGS_13B_07_NUMSPECSTOT","X2021_01_20_CORALEGGS_13NB_22_NUMSPECSTOT","X2021_01_20_CORALEGGS_21B_17_NUMSPECSTOT","X2021_01_20_CORALEGGS_21NB_09_NUMSPECSTOT","X2021_01_20_CORALEGGS_26B_21_NUMSPECSTOT","X2021_01_20_CORALEGGS_26NB_15_NUMSPECSTOT","X2021_01_20_CORALEGGS_66B_14_NUMSPECSTOT","X2021_01_20_CORALEGGS_66NB_16_NUMSPECSTOT","X2021_01_20_CORALEGGS_74B_08_NUMSPECSTOT","X2021_01_20_CORALEGGS_74NB_20_NUMSPECSTOT"
"1549","lcl|c214108_g4_i4|m.3369",4,2,3,4,3,6,3,4,4,8,5,5
"1550","lcl|c220640_g5_i2|m.7065",12,7,6,5,8,6,8,13,9,7,9,8
"1551","lcl|c220682_g4_i3|m.7087",2,2,2,2,2,1,2,3,3,2,3,2
"1552","lcl|c220808_g2_i6|m.7171",7,7,5,5,6,6,5,8,7,5,5,4
"1553","lcl|c220945_g4_i2|m.7256",4,5,3,2,5,5,4,6,4,2,4,5
"1554","lcl|c220977_g2_i3|m.7288",2,2,2,2,2,2,1,1,1,2,1,1
"1555","lcl|c221225_g1_i6|m.7493",3,4,3,3,1,3,4,4,4,4,4,2
"1556","lcl|c221440_g2_i5|m.7632",2,3,2,1,3,4,1,2,2,1,3,3
"1557","lcl|c214118_g1_i2|m.3372",1,1,1,2,2,1,2,1,2,2,2,1
"1558","lcl|c221441_g1_i5|m.7633",14,9,7,8,7,10,11,12,11,13,8,8
"1559","lcl|c221482_g1_i3|m.7664",4,6,4,4,4,6,3,2,4,6,6,5
"1560","lcl|c221583_g3_i2|m.7741",4,3,3,2,4,1,4,4,5,4,1,2
"1561","lcl|c221593_g3_i1|m.7753",1,3,3,3,6,2,2,1,1,3,2,5
"1562","lcl|c221608_g1_i1|m.7755",2,2,3,4,6,1,7,5,4,2,3,4
"1563","lcl|c221840_g3_i5|m.7911",11,9,8,8,10,11,12,8,11,9,13,10
"1564","lcl|c221840_g3_i2|m.7908",9,10,7,8,6,9,10,5,9,9,10,9
"1565","lcl|c221971_g2_i2|m.8018",2,2,2,1,2,2,0,0,1,1,1,2
"1566","lcl|c222208_g5_i7|m.8170",0,1,0,0,1,1,1,1,0,0,3,1
"1567","lcl|c222306_g9_i1|m.8237",2,1,0,1,0,0,1,2,2,0,0,2
"1568","lcl|c214573_g3_i1|m.3534",3,5,3,5,2,2,3,5,3,3,5,5
"1569","lcl|c222419_g1_i6|m.8316",5,3,2,3,3,4,1,5,1,5,3,4
"1570","lcl|c222437_g1_i2|m.8353",5,4,4,3,6,6,7,6,8,6,6,5
"1571","lcl|c222451_g1_i1|m.8369",5,3,1,0,1,3,3,4,4,4,3,2
"1572","lcl|c222459_g5_i1|m.8379",2,9,4,8,7,7,5,4,4,13,6,12
"1573","lcl|c222548_g1_i3|m.8426",3,2,3,3,3,2,3,1,1,2,4,5
"1574","lcl|c222653_g7_i1|m.8496",3,1,1,1,0,0,0,1,2,2,5,2
"1575","lcl|c222878_g2_i2|m.8680",0,0,0,2,0,0,0,0,0,1,0,0
"1576","lcl|c222899_g2_i4|m.8691",5,4,5,5,9,4,6,7,6,7,4,6
"1577","lcl|c222946_g2_i3|m.8728",7,4,2,4,2,2,5,6,4,3,2,5
"1578","lcl|c220806_g2_i3|m.7164",3,4,3,1,2,3,2,4,2,3,2,3
"1579","lcl|c222957_g1_i4|m.8749",4,2,3,5,7,4,4,5,4,4,4,4
"1580","lcl|c214584_g1_i1|m.3538",0,0,0,0,2,2,0,0,1,1,1,1
"1581","lcl|c222960_g2_i1|m.8750",9,7,7,4,3,6,5,9,8,7,6,8
"1582","lcl|c223053_g2_i3|m.8836",5,2,1,2,4,1,3,3,1,2,2,3
"1583","lcl|c223277_g3_i4|m.8995",1,2,1,1,1,1,0,2,1,0,1,1
"1584","lcl|c223355_g1_i3|m.9051",4,2,3,1,2,1,2,3,3,4,1,4
"1585","lcl|c223448_g1_i3|m.9130",2,1,1,1,1,1,1,2,1,1,1,1
"1586","lcl|c223454_g1_i3|m.9139",3,4,3,2,4,4,3,3,2,3,4,5
"1587","lcl|c223484_g3_i4|m.9156",0,3,3,5,5,6,0,0,0,4,4,2
"1588","lcl|c223611_g2_i2|m.9249",3,8,9,11,11,13,2,1,6,10,7,13
"1589","lcl|c223865_g4_i2|m.9445",4,7,8,6,7,7,4,5,3,6,4,7
"1590","lcl|c223971_g2_i1|m.9513",2,0,1,2,3,2,3,0,1,4,2,2
"1591","lcl|c214602_g8_i1|m.3549",2,2,2,2,2,3,1,1,2,3,3,2
"1592","lcl|c223984_g1_i6|m.9529",1,2,1,2,2,1,1,1,1,1,1,1
"1593","lcl|c224029_g4_i1|m.9563",1,1,2,2,1,1,2,1,1,1,2,0
"1594","lcl|c224201_g3_i8|m.9658",14,8,19,15,26,15,10,9,15,11,13,16
"1595","lcl|c224226_g3_i4|m.9666",1,3,2,4,3,3,2,2,2,2,3,4
"1596","lcl|c224260_g2_i3|m.9686",0,1,1,0,1,0,2,1,3,1,1,0
"1597","lcl|c224263_g3_i3|m.9691",4,3,3,3,3,3,1,2,3,3,3,3
"1598","lcl|c224457_g3_i2|m.9821",0,1,2,1,1,2,0,0,0,1,0,0
"1599","lcl|c224541_g6_i2|m.9899",0,0,0,0,0,0,0,0,3,3,2,2
"1600","lcl|c224698_g7_i8|m.10072",4,3,6,6,5,5,5,7,4,5,2,4
"1601","lcl|c224698_g7_i3|m.10071",2,2,4,3,2,2,2,5,2,2,1,2
"1602","lcl|c224713_g2_i1|m.10075",1,3,1,2,1,1,3,5,3,5,7,5
"1603","lcl|c214691_g1_i1|m.3614",1,2,2,0,0,1,0,2,1,0,1,0
"1604","lcl|c224820_g6_i4|m.10156",1,1,3,1,1,2,1,1,1,1,2,1
"1605","lcl|c237535_g3_i3|m.23359",1,1,2,1,1,1,1,2,1,1,2,2
"1606","lcl|c224995_g6_i2|m.10289",1,3,1,1,1,1,1,2,2,2,1,1
"1607","lcl|c225098_g3_i9|m.10362",3,4,4,5,5,6,4,3,4,3,4,5
"1608","lcl|c225115_g3_i4|m.10375",9,15,17,21,21,24,6,4,9,20,17,23
"1609","lcl|c225136_g5_i9|m.10397",0,1,1,0,2,2,1,0,1,2,0,1
"1610","lcl|c225222_g1_i4|m.10453",0,1,0,1,0,1,0,0,0,2,0,2
"1611","lcl|c225236_g1_i2|m.10460",6,5,4,5,3,5,5,7,6,4,6,4
"1612","lcl|c225423_g3_i2|m.10600",5,4,3,2,3,2,2,4,3,3,5,5
"1613","lcl|c225471_g2_i2|m.10654",9,7,4,5,5,6,8,11,8,11,9,12
"1614","lcl|c225478_g2_i2|m.10668",2,2,3,1,3,2,2,4,3,2,4,4
"1615","lcl|c225618_g2_i6|m.10783",17,27,26,24,24,27,17,15,12,20,23,27
"1616","lcl|c225632_g3_i1|m.10790",15,11,9,11,12,10,14,11,14,12,12,9
"1617","lcl|c225696_g1_i1|m.10828",5,6,7,7,9,9,5,3,5,7,7,10
"1618","lcl|c225728_g4_i1|m.10879",2,4,3,2,4,4,2,1,1,4,2,4
"1619","lcl|c225756_g1_i2|m.10914",2,1,1,1,1,2,2,1,2,1,1,1
"1620","lcl|c225789_g4_i1|m.10946",1,2,2,3,1,2,2,1,2,1,1,1
"1621","lcl|c225829_g1_i1|m.10978",2,5,3,3,5,4,1,2,2,3,3,3
"1622","lcl|c225859_g2_i6|m.10997",2,2,1,2,2,1,2,3,2,3,2,1
"1623","lcl|c225972_g1_i1|m.11091",24,25,25,29,17,21,23,32,23,23,27,27
"1624","lcl|c225983_g2_i10|m.11114",2,3,2,3,3,3,4,7,3,3,4,4
"1625","lcl|c226009_g3_i5|m.11131",5,3,5,4,3,1,3,7,5,3,3,3
"1626","lcl|c226079_g3_i1|m.11186",2,3,3,4,5,4,1,1,1,2,4,4
"1627","lcl|c226303_g1_i2|m.11380",0,2,3,3,2,3,0,0,1,2,2,2
"1628","lcl|c226346_g1_i1|m.11426",1,1,2,1,0,1,0,0,2,2,0,1
"1629","lcl|c226450_g3_i4|m.11486",11,8,12,9,9,10,10,9,9,13,10,10
"1630","lcl|c226460_g1_i13|m.11506",0,0,1,1,1,0,0,0,0,0,0,2
"1631","lcl|c226505_g3_i2|m.11536",1,1,1,2,1,2,1,3,1,1,1,2
"1632","lcl|c226676_g11_i2|m.11702",0,0,1,2,2,3,0,0,0,0,1,1
"1633","WP_070125145.1",0,0,0,1,0,1,0,0,0,0,0,0
"1634","lcl|c214971_g5_i1|m.3758",2,2,1,2,2,2,1,0,2,3,2,2
"1635","lcl|c226739_g4_i2|m.11743",2,7,5,7,4,7,3,2,3,4,3,9
"1636","lcl|c226769_g3_i1|m.11767",16,5,5,8,6,9,5,8,7,6,7,7
"1637","lcl|c226971_g4_i9|m.11985",3,0,0,1,0,0,3,2,3,2,0,3
"1638","lcl|c227069_g2_i12|m.12102",2,2,1,2,2,3,0,4,2,2,3,2
"1639","lcl|c227129_g2_i15|m.12185",2,1,1,1,3,2,3,0,4,3,2,0
"1640","lcl|c227188_g1_i3|m.12224",2,1,1,3,2,2,2,0,2,3,2,2
"1641","lcl|c227206_g2_i7|m.12247",8,16,10,11,17,14,6,6,10,16,10,16
"1642","lcl|c227332_g2_i2|m.12341",16,16,16,15,11,15,15,18,20,19,14,17
"1643","lcl|c227467_g2_i2|m.12463",8,6,3,3,6,3,4,9,5,8,8,7
"1644","lcl|c227562_g6_i1|m.12582",9,6,6,9,7,8,7,9,5,8,7,10
"1645","lcl|c214971_g6_i7|m.3760",2,2,2,3,3,4,0,1,4,3,2,2
"1646","lcl|c227565_g2_i7|m.12589",3,2,1,0,0,1,0,2,0,1,2,2
"1647","lcl|c227730_g3_i11|m.12709",3,2,2,0,1,2,1,2,3,1,0,1
"1648","lcl|c227758_g2_i4|m.12736",5,4,5,8,5,7,7,3,7,6,6,4
"1649","lcl|c227762_g5_i1|m.12740",1,0,1,2,1,1,2,1,1,0,0,1
"1650","lcl|c227794_g1_i1|m.12770",4,4,4,4,4,6,2,5,3,2,5,5
"1651","lcl|c223433_g6_i1|m.9115",4,5,5,6,5,4,4,5,4,6,4,5
"1652","A0A1Q9DUY8",2,2,2,2,2,1,1,3,0,1,1,2
"1653","A0A1Q9CQW3",2,1,1,1,1,1,1,3,0,1,1,2
"1654","lcl|c222581_g2_i12|m.8452",2,2,2,2,2,2,2,3,1,1,2,2
"1655","WP_109683579.1",2,1,1,1,1,1,1,2,0,1,1,1
"1656","lcl|c227804_g2_i3|m.12774",0,0,1,1,0,0,0,1,0,0,3,1
"1657","lcl|c227856_g7_i5|m.12838",1,2,1,1,1,2,1,2,3,1,2,2
"1658","lcl|c227910_g4_i10|m.12878",2,2,8,5,7,6,2,4,6,8,7,9
"1659","lcl|c227928_g1_i2|m.12896",1,0,0,2,2,1,2,1,2,0,0,1
"1660","lcl|c227928_g3_i7|m.12901",3,1,0,2,1,2,2,1,1,2,2,4
"1661","lcl|c227969_g5_i2|m.12934",3,2,5,6,5,3,5,2,5,3,6,4
"1662","lcl|c227993_g1_i6|m.12952",1,1,2,4,5,5,2,4,4,4,5,5
"1663","lcl|c228056_g1_i4|m.13006",2,0,1,0,1,0,2,2,2,2,0,1
"1664","lcl|c228113_g1_i1|m.13052",5,3,6,6,6,5,0,3,2,6,5,4
"1665","lcl|c228121_g2_i2|m.13058",2,0,0,1,2,1,1,0,0,3,2,2
"1666","lcl|c228190_g3_i8|m.13112",1,6,6,5,6,5,1,0,1,5,5,5
"1667","lcl|c228309_g1_i6|m.13221",0,5,0,1,2,3,1,3,1,6,3,2
"1668","lcl|c228497_g4_i2|m.13372",2,0,5,2,1,2,3,2,3,3,2,1
"1669","lcl|c228525_g4_i3|m.13399",2,2,2,0,0,1,1,2,1,3,1,1
"1670","lcl|c228543_g5_i2|m.13413",2,2,3,2,3,2,1,2,2,3,2,2
"1671","lcl|c215093_g1_i2|m.3818",5,5,7,5,3,7,5,6,3,7,3,4
"1672","lcl|c228583_g3_i2|m.13440",2,1,5,4,2,3,3,5,2,6,4,5
"1673","lcl|c228623_g6_i3|m.13470",5,5,3,3,10,8,3,4,3,9,5,8
"1674","lcl|c228678_g2_i11|m.13512",3,4,4,5,5,3,3,2,2,2,3,3
"1675","lcl|c236793_g3_i9|m.22532",3,2,0,0,1,0,0,1,1,2,1,2
"1676","lcl|c233339_g2_i12|m.18429",1,1,0,1,1,1,0,0,1,0,0,0
"1677","lcl|c228728_g1_i4|m.13597",2,4,3,1,2,4,1,1,1,3,1,2
"1678","lcl|c228772_g4_i5|m.13636",6,6,3,8,4,6,2,3,4,9,5,7
"1679","lcl|c228848_g6_i3|m.13716",2,0,0,3,0,1,2,3,3,3,4,1
"1680","lcl|c228938_g1_i7|m.13803",3,2,1,3,2,2,2,2,3,2,2,2
"1681","lcl|c229056_g1_i4|m.13924",2,2,2,1,2,1,2,3,2,1,2,1
"1682","lcl|c229060_g1_i1|m.13927",12,6,6,9,6,12,6,6,10,8,8,12
"1683","lcl|c215344_g2_i4|m.3967",0,0,0,1,1,1,0,0,0,0,1,0
"1684","lcl|c229132_g1_i2|m.13984",17,13,8,8,14,15,13,15,13,14,14,11
"1685","lcl|c229412_g3_i1|m.14240",2,2,1,0,2,1,0,2,2,1,0,1
"1686","lcl|c229422_g1_i2|m.14250",13,13,13,14,11,15,11,14,10,15,14,14
"1687","lcl|c229422_g1_i9|m.14251",9,8,10,10,9,12,7,11,6,11,10,11
"1688","lcl|c229482_g2_i3|m.14286",6,6,8,10,7,8,6,6,7,8,10,7
"1689","lcl|c229503_g1_i3|m.14339",0,0,0,0,0,1,0,0,2,2,1,0
"1690","lcl|c229507_g2_i4|m.14343",3,2,1,2,1,1,2,3,1,2,3,2
"1691","lcl|c229550_g1_i3|m.14392",16,14,13,14,14,13,15,18,16,14,19,21
"1692","A0A1Q9CRD2",2,2,5,4,3,3,3,4,1,2,4,3
"1693","lcl|c215423_g1_i1|m.4014",3,6,8,10,11,10,0,1,3,11,6,7
"1694","lcl|c229561_g1_i12|m.14408",6,4,6,5,7,5,4,2,5,8,4,3
"1695","lcl|c229582_g1_i2|m.14429",0,1,1,2,3,1,0,0,1,1,2,3
"1696","lcl|c229583_g3_i7|m.14431",3,2,2,3,3,5,3,1,3,2,2,3
"1697","lcl|c229615_g3_i4|m.14451",5,4,3,2,2,4,4,6,4,3,6,3
"1698","lcl|c229658_g3_i2|m.14487",1,1,0,1,1,3,0,0,0,0,0,1
"1699","lcl|c229749_g1_i6|m.14586",1,2,0,0,1,1,0,1,0,1,1,2
"1700","lcl|c229751_g1_i2|m.14592",7,6,8,5,5,4,5,7,8,7,9,6
"1701","lcl|c229776_g6_i2|m.14612",3,2,1,2,2,2,0,2,1,3,1,1
"1702","lcl|c229826_g4_i5|m.14661",0,1,0,1,2,3,0,0,0,2,1,2
"1703","lcl|c229841_g2_i3|m.14677",10,8,5,7,9,9,7,7,11,8,7,7
"1704","lcl|c215553_g1_i10|m.4084",1,0,0,0,0,1,0,0,0,0,1,2
"1705","lcl|c229881_g6_i6|m.14719",16,14,11,13,14,11,12,14,11,13,13,11
"1706","lcl|c229939_g1_i1|m.14795",5,8,6,6,7,7,4,5,3,10,4,7
"1707","lcl|c229957_g1_i1|m.14808",0,4,2,3,5,4,2,0,1,1,2,1
"1708","lcl|c230011_g2_i5|m.14861",2,1,1,3,1,2,2,3,1,3,3,1
"1709","lcl|c230054_g1_i7|m.14897",5,3,6,4,6,5,3,5,5,5,4,6
"1710","lcl|c230073_g1_i10|m.14919",2,7,7,7,9,11,1,1,2,10,6,8
"1711","lcl|c230124_g3_i6|m.14973",21,16,15,19,11,14,16,24,18,20,20,24
"1712","lcl|c230335_g4_i4|m.15179",2,6,7,8,7,7,0,0,1,7,5,4
"1713","lcl|c230386_g2_i2|m.15225",10,9,8,9,11,10,8,11,8,11,8,9
"1714","lcl|c230405_g2_i6|m.15257",1,1,2,2,1,2,1,1,0,1,1,2
"1715","lcl|c215622_g1_i2|m.4124",3,2,1,2,0,0,2,1,1,2,1,2
"1716","lcl|c230438_g3_i4|m.15312",1,1,0,1,3,2,1,1,0,2,2,2
"1717","lcl|c230481_g5_i1|m.15356",5,3,4,3,3,2,4,2,3,3,2,5
"1718","lcl|c230823_g3_i1|m.15672",7,5,6,5,6,5,5,6,8,11,7,6
"1719","lcl|c230862_g3_i1|m.15714",4,3,3,4,10,7,1,1,2,3,5,9
"1720","lcl|c230880_g3_i5|m.15737",0,1,3,2,2,3,0,1,0,1,2,1
"1721","lcl|c231030_g9_i2|m.15907",1,3,4,3,1,3,2,2,5,5,4,2
"1722","lcl|c231030_g9_i4|m.15909",0,1,2,1,0,3,1,1,3,3,2,1
"1723","lcl|c231043_g3_i4|m.15925",2,4,4,4,3,3,3,4,3,4,4,4
"1724","lcl|c231068_g6_i2|m.15939",28,28,28,27,28,30,20,25,19,36,32,30
"1725","A0A1Q9DLJ1",2,4,3,1,1,2,1,3,1,2,3,2
"1726","lcl|c231142_g1_i4|m.15993",6,2,1,3,2,1,3,2,3,3,2,2
"1727","lcl|c231190_g4_i6|m.16031",4,1,4,4,2,5,3,5,6,6,6,4
"1728","lcl|c215676_g2_i1|m.4150",2,3,0,2,1,3,3,2,2,3,1,1
"1729","lcl|c231257_g1_i5|m.16082",1,2,2,2,2,1,3,2,2,2,2,1
"1730","lcl|c231271_g2_i4|m.16089",1,0,0,2,2,1,2,1,2,1,3,3
"1731","lcl|c231388_g1_i7|m.16192",2,3,1,1,0,0,2,1,2,1,0,1
"1732","lcl|c231430_g2_i6|m.16242",0,1,1,1,0,0,1,1,2,1,2,1
"1733","lcl|c231440_g4_i2|m.16256",5,7,1,2,3,3,4,5,3,3,3,4
"1734","lcl|c231469_g3_i4|m.16290",4,7,6,8,9,7,3,9,6,8,7,10
"1735","lcl|c231477_g1_i1|m.16301",0,0,1,1,0,1,2,0,1,2,1,1
"1736","lcl|c231506_g1_i1|m.16344",1,1,1,1,1,1,1,4,2,2,1,1
"1737","lcl|c231559_g1_i5|m.16408",6,7,3,6,6,9,5,6,8,9,6,8
"1738","lcl|c215741_g2_i3|m.4173",2,1,2,0,0,1,2,1,1,1,1,1
"1739","lcl|c231634_g1_i2|m.16472",13,10,9,7,14,12,13,12,16,10,11,12
"1740","lcl|c231821_g3_i1|m.16651",5,2,3,6,5,5,6,5,3,3,5,7
"1741","lcl|c231997_g2_i3|m.16900",4,11,8,10,9,10,6,5,7,10,11,10
"1742","lcl|c232046_g3_i8|m.16952",18,14,16,11,11,14,10,11,15,18,21,19
"1743","lcl|c232109_g7_i6|m.17002",4,2,3,3,3,2,3,4,3,3,4,2
"1744","lcl|c232249_g2_i1|m.17180",6,4,6,5,4,4,3,6,5,6,4,5
"1745","lcl|c232520_g2_i5|m.17456",3,3,3,2,3,1,2,2,2,3,3,2
"1746","lcl|c232597_g5_i4|m.17585",2,2,2,2,4,4,1,2,2,1,3,3
"1747","lcl|c232628_g4_i6|m.17623",1,0,2,1,1,0,1,5,2,2,0,1
"1748","lcl|c232653_g3_i1|m.17643",0,0,1,2,0,0,3,1,2,2,3,3
