Protein,10B_23 Protein Abundance,10NB_13 Protein Abundance,13B_07 Protein Abundance,13NB_22 Protein Abundance,21B_17 Protein Abundance,21NB_09 Protein Abundance,26B_21 Protein Abundance,26NB_15 Protein Abundance,66B_14 Protein Abundance,66NB_16 Protein Abundance,74B_08 Protein Abundance,74NB_20 Protein Abundance
lcl|c223077_g2_i1|m.8858,2.1680E+6,1.7154E+6,1.4557E+6,2.4623E+6,1.7144E+6,1.7270E+6,1.5277E+6,2.1331E+6,2.1101E+6,3.3875E+6,2.3005E+6,3.6388E+6
lcl|c223139_g3_i2|m.8898,1.3014E+7,1.1417E+7,9.3152E+6,1.1113E+7,9.2229E+6,1.2370E+7,1.0688E+7,1.5837E+7,1.1521E+7,1.8895E+7,1.7757E+7,1.8165E+7
lcl|c223205_g4_i1|m.8934,1.1967E+6,1.4284E+6,5.8376E+5,9.8894E+5,1.0142E+6,1.2991E+6,1.3070E+6,1.7332E+6,1.2259E+6,2.1325E+6,1.4915E+6,1.6627E+6
lcl|c223247_g3_i6|m.8971,6.5719E+6,5.2710E+6,3.6550E+6,5.0508E+6,4.2530E+6,5.5886E+6,2.9229E+6,6.4544E+6,5.1434E+6,7.0500E+6,6.4934E+6,6.6317E+6
lcl|c223351_g1_i1|m.9046,1.0628E+6,1.3290E+6,6.7621E+5,1.0153E+6,4.1157E+5,4.7583E+5,2.6706E+5,1.0070E+6,2.7589E+5,3.7536E+5,7.1818E+5,8.7798E+5
lcl|c223355_g1_i3|m.9051,3.0207E+6,3.0525E+6,1.8878E+6,2.1973E+6,2.0350E+6,2.4870E+6,1.9655E+6,3.7975E+6,2.5802E+6,4.0810E+6,3.0952E+6,3.2402E+6
lcl|c223433_g6_i1|m.9115,2.9604E+6,3.3385E+6,2.7908E+6,2.7837E+6,3.3065E+6,4.0343E+6,2.4056E+6,3.3971E+6,2.7782E+6,3.8260E+6,3.3528E+6,3.7464E+6
lcl|c223484_g3_i4|m.9156,1.3729E+6,3.7006E+6,4.6013E+6,4.9010E+6,5.3655E+6,5.3471E+6,1.0778E+6,1.0242E+6,1.2916E+6,6.3127E+6,3.2549E+6,5.8244E+6
lcl|c223556_g1_i6|m.9203,2.8887E+6,3.5834E+6,2.5962E+6,3.1821E+6,3.0599E+6,4.3558E+6,1.9221E+6,3.4064E+6,1.8798E+6,5.6834E+6,3.9765E+6,4.9555E+6
lcl|c223561_g2_i1|m.9204,2.5999E+6,2.5948E+6,1.9848E+6,1.6439E+6,1.2527E+6,1.6482E+6,2.1885E+6,2.1472E+6,2.8100E+6,4.4111E+6,3.1830E+6,2.8506E+6
lcl|c223611_g2_i1|m.9246,7.5398E+5,4.3514E+6,6.1942E+6,7.0766E+6,9.6656E+6,1.0347E+7,1.2862E+6,1.2367E+6,1.2425E+6,7.9327E+6,5.1469E+6,9.2157E+6
lcl|c223611_g2_i1|m.9248,2.5721E+6,5.8544E+6,7.9569E+6,1.1715E+7,1.5902E+7,1.2497E+7,2.2742E+6,1.9511E+6,3.1368E+6,1.2014E+7,7.5454E+6,1.2180E+7
lcl|c223611_g2_i2|m.9249,1.2002E+6,2.3006E+6,2.7450E+6,3.5036E+6,4.7111E+6,4.7043E+6,1.1716E+6,4.1431E+5,8.1752E+5,4.2658E+6,2.3567E+6,5.2699E+6
lcl|c223616_g1_i1|m.9252,5.0917E+6,4.6761E+6,3.0191E+6,5.2700E+6,3.8541E+6,4.8338E+6,4.0501E+6,8.0194E+6,3.2017E+6,6.4978E+6,6.3113E+6,8.0378E+6
lcl|c223677_g1_i1|m.9303,3.5650E+6,3.6252E+6,2.5650E+6,3.6225E+6,2.3050E+6,3.3480E+6,2.6660E+6,5.3737E+6,3.1249E+6,5.2333E+6,3.5972E+6,4.7397E+6
lcl|c223716_g4_i1|m.9328,1.3506E+6,9.9352E+5,8.8862E+5,1.0912E+6,8.9536E+5,1.0836E+6,9.2342E+5,1.3303E+6,7.6220E+5,1.1920E+6,1.2251E+6,1.2812E+6
lcl|c223808_g2_i1|m.9405,1.1252E+6,1.5734E+6,2.2562E+6,1.7005E+6,1.3310E+6,1.6811E+6,1.9568E+6,2.7903E+6,2.3379E+6,4.0908E+6,1.7918E+6,1.4150E+6
lcl|c223842_g4_i5|m.9424,1.4613E+6,6.1173E+6,6.5970E+6,6.4374E+6,9.0126E+6,9.5146E+6,1.0769E+6,7.7712E+5,1.3419E+6,7.9165E+6,5.5734E+6,9.6028E+6
