Protein,LogFoldChange,Zstatistic,Name,Function
lcl|c219817_g1_i3|m.6593,-1.502,-3.9861,NA,NA
lcl|c219828_g4_i5|m.6597,-2.259,-8.1899,NA,NA
lcl|c219841_g6_i1|m.6610,-1.695,-4.7185,NA,NA
lcl|c219842_g1_i1|m.6611,-1.047,-2.6019,NA,NA
lcl|c219870_g5_i1|m.6620,-0.91,-3.3221,NA,NA
lcl|c219901_g4_i1|m.6631,-1.546,-4.902,NA,NA
lcl|c220106_g1_i3|m.6753,-2.235,-6.9359,NA,NA
lcl|c220191_g1_i1|m.6799,-1.704,-5.3486,NA,NA
lcl|c220236_g4_i1|m.6833,-1.208,-5.0554,NA,NA
lcl|c220306_g1_i5|m.6860,-2.359,-8.3974,NA,NA
lcl|c220319_g5_i1|m.6862,-0.852,-2.7923,NA,NA
lcl|c220409_g3_i3|m.6926,-1.374,-3.5845,NA,NA
lcl|c220806_g2_i3|m.7164,0.77,4.3887,NA,NA
lcl|c220808_g2_i6|m.7171,-1.133,-7.0502,NA,NA
lcl|c220845_g6_i1|m.7197,-1.415,-5.1675,NA,NA
lcl|c220897_g5_i4|m.7224,-1.147,-2.8512,NA,NA
lcl|c220945_g4_i2|m.7256,-2.192,-8.1303,NA,NA
lcl|c220977_g2_i3|m.7288,-1.606,-4.5018,NA,NA
lcl|c221077_g1_i1|m.7374,-2.299,-11.8374,NA,NA
lcl|c221114_g2_i1|m.7405,-1.327,-4.2761,NA,NA
lcl|c221238_g1_i4|m.7502,-0.793,-2.6612,NA,NA
lcl|c221440_g2_i5|m.7632,-1.273,-5.0381,NA,NA
lcl|c221441_g1_i5|m.7633,-2.455,-13.2139,NA,NA
lcl|c221444_g1_i1|m.7638,-1.922,-5.2617,NA,NA
lcl|c221464_g1_i3|m.7656,-1.395,-4.1608,NA,NA
lcl|c221482_g1_i3|m.7664,-2.047,-8.1948,NA,NA
lcl|c221514_g6_i1|m.7698,-0.789,-2.3046,NA,NA
lcl|c221583_g3_i2|m.7741,0.978,6.0369,NA,NA
lcl|c221736_g1_i11|m.7820,-0.596,-3.6751,NA,NA
lcl|c221840_g3_i2|m.7908,-1.758,-11.0167,NA,NA
lcl|c221840_g3_i5|m.7911,-2.433,-12.7154,NA,NA
lcl|c221849_g1_i2|m.7917,-0.95,-3.3564,NA,NA
lcl|c221855_g2_i3|m.7925,0.528,2.3125,NA,NA
lcl|c221884_g1_i3|m.7955,-2.751,-8.5955,NA,NA
lcl|c221967_g2_i3|m.8016,-1.36,-6.3477,NA,NA
lcl|c221999_g1_i4|m.8036,-2.641,-9.4274,NA,NA
lcl|c222197_g1_i5|m.8163,-1.653,-4.4072,NA,NA
lcl|c222286_g2_i1|m.8232,-0.954,-2.569,NA,NA
lcl|c222306_g8_i4|m.8236,-0.722,-2.6065,NA,NA
lcl|c222399_g1_i2|m.8304,1.615,7.338,NA,NA
lcl|c222419_g1_i6|m.8316,0.554,3.285,NA,NA
lcl|c222436_g10_i1|m.8337,-1.145,-3.8276,NA,NA
lcl|c222437_g1_i2|m.8353,0.942,6.4826,NA,NA
lcl|c222451_g1_i1|m.8369,-0.748,-3.2883,NA,NA
lcl|c222459_g5_i1|m.8379,-1.075,-7.563,NA,NA
lcl|c222526_g1_i2|m.8408,-1.052,-3.875,NA,NA
lcl|c222548_g1_i3|m.8426,-1.98,-6.4799,NA,NA
lcl|c222555_g2_i4|m.8428,0.739,5.1382,NA,NA
lcl|c222581_g2_i12|m.8452,-0.728,-2.6574,NA,NA
lcl|c222653_g7_i1|m.8496,-0.691,-2.4751,NA,NA
lcl|c222727_g3_i2|m.8582,-1.028,-5.6611,NA,NA
lcl|c222730_g7_i1|m.8585,-1.291,-3.1838,NA,NA
lcl|c222797_g7_i2|m.8616,-1.238,-2.888,NA,NA
lcl|c222899_g2_i4|m.8691,-1.096,-6.8761,NA,NA
lcl|c222905_g1_i3|m.8695,-1.317,-3.1109,NA,NA
lcl|c222937_g2_i3|m.8724,0.86,4.1646,NA,NA
lcl|c222946_g2_i3|m.8728,0.729,4.5097,NA,NA
lcl|c222960_g2_i1|m.8750,0.784,7.5073,NA,NA
lcl|c223053_g2_i3|m.8836,-1.759,-5.8697,NA,NA
lcl|c223077_g2_i1|m.8858,0.723,4.1974,NA,NA
lcl|c223139_g3_i2|m.8898,-0.797,-3.6521,NA,NA
lcl|c223205_g4_i1|m.8934,-1.526,-6.8752,NA,NA
