Proteins,moduleColor,p.MM.turquoise,p.MM.blue,p.MM.grey
lcl|c215434_g3_i1|m.4032,blue,0.467208603,4.87E-08,0.490903967
lcl|c216567_g2_i2|m.4643,blue,0.813155509,0.000653833,0.295507844
lcl|c208130_g1_i1|m.1735,blue,0.282480922,0.000337824,0.95621274
lcl|c227188_g1_i1|m.12222,blue,0.028108667,0.001319447,0.922875448
lcl|c244407_g1_i3|m.32143,blue,0.309898881,9.75E-07,0.350914298
lcl|c224809_g3_i1|m.10148,blue,0.55736219,8.78E-07,0.274323543
lcl|c215979_g1_i4|m.4328,blue,0.530190117,8.23E-08,0.458727741
tr|A0A1Q9DE34|A0A1Q9DE34_SYMMI,blue,0.360815685,4.56E-06,0.433552233
lcl|c213652_g3_i1|m.3162,blue,0.399734316,1.49E-07,0.430913952
lcl|c227265_g2_i4|m.12287,blue,0.443517436,4.32E-07,0.26240527
lcl|c232731_g2_i1|m.17722,blue,0.716829121,1.01E-05,0.350398932
lcl|c241803_g5_i1|m.28948,blue,0.558321388,1.33E-07,0.431877939
lcl|c222899_g2_i2|m.8689,blue,0.009464082,0.011582571,0.800002352
lcl|c219704_g3_i2|m.6534,blue,0.493114025,3.72E-08,0.61567163
lcl|c219749_g3_i4|m.6554,blue,0.435706593,3.18E-05,0.989879082
lcl|c223484_g3_i2|m.9155,blue,0.691348401,1.47E-05,0.7156498
lcl|c240521_g1_i4|m.27364,blue,0.058181121,0.00199916,0.643258943
lcl|c243010_g3_i1|m.30515,blue,0.24764274,1.77E-07,0.574501095
lcl|c213642_g1_i2|m.3160,blue,0.326916634,1.19E-06,0.867311146
lcl|c217988_g6_i3|m.5463,blue,0.039264076,0.00126702,0.521283814
lcl|c226303_g1_i2|m.11380,blue,0.439288986,1.82E-06,0.1469338
lcl|c199545_g1_i1|m.1080,blue,0.573537388,1.19E-07,0.42153682
lcl|c230570_g2_i2|m.15424,blue,0.61042055,3.29E-07,0.51169258
lcl|c218903_g1_i1|m.6054,blue,0.455026063,8.60E-08,0.4911218
lcl|c229957_g1_i1|m.14808,blue,0.607477672,7.18E-07,0.329436905
lcl|c237291_g3_i3|m.23123,blue,0.639324662,3.19E-06,0.69756195
lcl|c225696_g1_i1|m.10828,blue,0.601386314,2.21E-07,0.450942437
lcl|c215632_g4_i4|m.4127,blue,0.592548307,3.03E-07,0.490522904
lcl|c239101_g4_i2|m.25293,blue,0.462594978,1.02E-08,0.455040497
lcl|c235283_g6_i2|m.20781,blue,0.386118513,0.000102604,0.063414591
lcl|c228164_g3_i4|m.13090,blue,0.399772836,4.69E-07,0.436941534
lcl|c237291_g3_i2|m.23122,blue,0.711855671,2.74E-06,0.62453695
lcl|c234657_g3_i4|m.20097,blue,0.113493639,0.016666201,0.267730314
lcl|c238192_g2_i2|m.24225,blue,0.565044341,1.42E-06,0.392781922
lcl|c215762_g1_i1|m.4180,blue,0.556533891,1.19E-07,0.426242617
lcl|c222639_g5_i2|m.8480,blue,0.449131411,1.42E-07,0.436225557
lcl|c224093_g2_i2|m.9595,blue,0.571439041,3.00E-07,0.37095934
lcl|c227910_g4_i10|m.12878,blue,0.285306651,0.003685094,0.727760638
lcl|c231997_g2_i3|m.16900,blue,0.52665242,2.04E-07,0.492515343
lcl|c212827_g4_i1|m.2867,blue,0.535890523,7.40E-06,0.34440618
lcl|c228623_g6_i3|m.13470,blue,0.338107243,2.93E-05,0.98361986
lcl|c220899_g1_i2|m.7227,blue,0.30899021,0.002831766,0.478804476
tr|A0A1Q9CGR1|A0A1Q9CGR1_SYMMI,blue,0.632891973,9.35E-07,0.348518464
lcl|c129724_g1_i1|m.160,blue,0.680424237,1.06E-06,0.472986311
lcl|c108423_g2_i1|m.37,blue,0.670801565,6.77E-07,0.599906853
lcl|c243039_g1_i1|m.30534,blue,0.140224441,0.000722761,0.903206203
lcl|c212826_g3_i1|m.2861,blue,0.712675586,3.34E-06,0.703563182
lcl|c235670_g8_i2|m.21195,blue,0.519384695,4.12E-07,0.586756248
lcl|c237027_g3_i11|m.22792,blue,0.590436189,6.26E-07,0.669383863
lcl|c240612_g3_i13|m.27477,blue,0.541808885,2.44E-06,0.240660626
lcl|c226079_g3_i1|m.11186,blue,0.421866515,8.95E-08,0.489275197
lcl|c228190_g3_i8|m.13112,blue,0.797982572,6.01E-06,0.712711237
lcl|c230335_g4_i1|m.15178,blue,0.727074017,2.07E-06,0.544538336
lcl|c233474_g3_i1|m.18592,blue,0.821606111,8.77E-06,0.295376706
lcl|c223849_g2_i2|m.9432,blue,0.848978283,5.54E-05,0.378649464
lcl|c226079_g3_i1|m.11187,blue,0.317974577,6.57E-06,0.372623105
lcl|c231956_g3_i1|m.16823,blue,0.723808916,3.76E-06,0.620019473
lcl|c210529_g2_i1|m.2194,blue,0.561964518,2.01E-07,0.531152722
lcl|c226335_g2_i1|m.11421,blue,0.735685381,1.78E-06,0.427549725
lcl|c225115_g3_i1|m.10372,blue,0.648163798,1.72E-06,0.623185083
lcl|c237638_g1_i15|m.23528,blue,0.18753911,5.22E-05,0.455839026
lcl|c222950_g5_i7|m.8739,blue,0.802206843,1.03E-05,0.449389749
lcl|c219500_g1_i1|m.6420,blue,0.760901172,4.13E-06,0.477300626
lcl|c184118_g1_i1|m.691,blue,0.724515188,3.51E-06,0.438780994
lcl|c239219_g5_i1|m.25453,blue,0.748364587,3.45E-06,0.441655519
lcl|c233143_g2_i13|m.18204,blue,0.044464044,0.019852983,0.180301824
lcl|c223611_g2_i1|m.9246,blue,0.793216647,4.45E-06,0.538056205
lcl|c221774_g2_i1|m.7854,blue,0.112700387,0.002841746,0.789026921
lcl|c210670_g1_i5|m.2233,blue,0.810425718,0.016034354,0.760410903
lcl|c237730_g2_i10|m.23656,blue,0.836389052,9.70E-06,0.628698175
lcl|c230758_g1_i1|m.15596,blue,0.236852799,0.025807092,0.983130202
lcl|c223163_g2_i2|m.8916,blue,0.046323724,0.000407435,0.603238186
lcl|c235213_g4_i11|m.20710,blue,0.088412221,0.041939977,0.186319094
lcl|c207857_g1_i1|m.1690,blue,0.953601519,9.18E-05,0.524243925
lcl|c233339_g2_i12|m.18429,blue,0.271095659,0.00021244,0.546799733
lcl|c216124_g1_i2|m.4405,blue,0.103577321,0.000418111,0.775399765
lcl|c225115_g3_i1|m.10373,blue,0.672223828,1.26E-06,0.529323005
lcl|c228978_g2_i1|m.13840,blue,0.60100682,2.45E-06,0.760279662
lcl|c234950_g6_i3|m.20442,blue,0.856387086,1.39E-05,0.57829748
lcl|c226505_g3_i2|m.11536,blue,0.284097988,0.00107255,0.420510053
lcl|c228772_g4_i3|m.13634,blue,0.110887007,0.000261975,0.559418127
lcl|c235850_g2_i3|m.21382,blue,0.487554744,0.000327533,0.091384491
lcl|c213160_g2_i5|m.2982,blue,0.631607846,2.19E-06,0.729761719
lcl|c219194_g2_i4|m.6260,blue,0.767637901,0.006828453,0.733879964
lcl|c223842_g4_i5|m.9424,blue,0.800395737,7.44E-06,0.50203705
lcl|c212297_g3_i2|m.2674,blue,0.233610023,0.018960417,0.131023904
lcl|c242246_g1_i5|m.29540,blue,0.817641331,1.20E-05,0.469142748
lcl|c230438_g3_i4|m.15312,blue,0.451767647,0.039492657,0.689311595
lcl|c221130_g3_i2|m.7408,blue,0.26658623,0.000128657,0.623296878
lcl|c224457_g3_i2|m.9821,blue,0.501184304,0.074289919,0.03875054
lcl|c224201_g3_i8|m.9658,blue,0.607117371,1.66E-05,0.637275238
lcl|c234522_g3_i2|m.19927,blue,0.483477437,0.001520242,0.568455929
lcl|c233840_g3_i1|m.19060,blue,0.959163009,4.87E-05,0.634876216
lcl|c221736_g1_i11|m.7820,blue,0.561353417,8.74E-07,0.48543983
tr|A0A1Q9D014|A0A1Q9D014_SYMMI,blue,0.805318927,0.01435993,0.703976637
lcl|c240628_g3_i3|m.27511,blue,0.13073411,0.006596639,0.373094529
lcl|c207018_g1_i2|m.1610,blue,0.76928553,0.000135748,0.545168749
lcl|c239381_g2_i1|m.25706,blue,0.229807589,0.017473851,0.203438853
lcl|c230414_g1_i1|m.15275,blue,0.06058322,0.0006985,0.65742672
lcl|c217381_g1_i2|m.5165,blue,0.86876898,1.46E-05,0.557261768
lcl|c223611_g2_i2|m.9249,blue,0.956476514,7.58E-05,0.483287894
lcl|c216057_g3_i1|m.4371,blue,0.161754886,0.01125534,0.016537499
lcl|c84792_g1_i1|m.32689,blue,0.72270756,1.76E-05,0.868151641
lcl|c229422_g1_i9|m.14251,blue,0.325212799,1.63E-05,0.879737824
lcl|c205012_g1_i1|m.1420,blue,0.774221884,0.023482153,0.170604075
lcl|c208276_g2_i1|m.1762,blue,0.852418779,0.000869279,0.936330104
lcl|c222555_g2_i4|m.8428,blue,0.035655258,0.022094133,0.971708744
lcl|c243791_g1_i1|m.31323,blue,0.326868581,0.049094107,0.018935121
lcl|c218881_g3_i1|m.6021,blue,0.176576799,0.066341119,0.186095874
lcl|c227804_g2_i3|m.12774,blue,0.452527093,0.081235766,0.383120456
lcl|c243262_g1_i11|m.30755,blue,0.978499397,6.44E-05,0.624461506
lcl|c230880_g3_i5|m.15737,blue,0.467735134,0.003904881,0.799833362
lcl|c210228_g3_i1|m.2141,blue,0.993688333,0.025554232,0.511732489
lcl|c210150_g1_i1|m.2119,blue,0.349663877,0.030768847,0.909931443
